Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,686.450012,690.020020,683.739990,687.820007,687.820007,503300000
2020-01-22,686.770020,689.130005,682.289978,683.109985,683.109985,608100000
2020-01-23,684.219971,687.549988,682.520020,686.859985,686.859985,434600000
2020-01-24,686.000000,688.210022,685.049988,686.309998,686.309998,383800000
2020-01-27,685.309998,685.460022,666.289978,668.500000,668.500000,505600000
2020-01-28,665.669983,666.119995,656.429993,665.719971,665.719971,613700000
2020-01-29,667.340027,671.260010,665.270020,666.940002,666.940002,440900000
2020-01-30,667.330017,668.469971,656.760010,657.830017,657.830017,504000000
2020-01-31,660.609985,660.950012,642.270020,642.799988,642.799988,824000000
2020-02-03,639.539978,643.380005,634.359985,636.109985,636.109985,599500000
2020-02-04,641.700012,643.650024,637.179993,639.640015,639.640015,691400000
2020-02-05,642.359985,647.510010,637.309998,647.510010,647.510010,701500000
2020-02-06,650.820007,651.179993,642.590027,644.280029,644.280029,579000000
2020-02-07,645.109985,646.929993,643.049988,644.539978,644.539978,511700000
2020-02-10,645.020020,645.369995,635.659973,637.690002,637.690002,503200000
2020-02-11,639.719971,641.229980,635.849976,637.359985,637.359985,438600000
2020-02-12,635.789978,636.359985,625.919983,627.789978,627.789978,589700000
2020-02-13,627.799988,628.630005,616.059998,617.419983,617.419983,573200000
2020-02-14,615.650024,623.289978,612.210022,619.840027,619.840027,512500000
2020-02-17,620.289978,622.359985,616.830017,618.809998,618.809998,406000000
2020-02-18,617.119995,628.380005,617.119995,623.969971,623.969971,586900000
2020-02-19,626.380005,629.409973,625.780029,629.409973,629.409973,579100000
2020-02-20,630.929993,635.359985,630.359985,633.780029,633.780029,528000000
2020-02-21,633.840027,635.010010,621.969971,624.169983,624.169983,609200000
2020-02-24,616.890015,622.950012,608.469971,614.719971,614.719971,576600000
2020-02-25,608.330017,616.190002,603.739990,609.580017,609.580017,600800000
2020-02-26,603.000000,604.320007,593.090027,593.599976,593.599976,722900000
2020-02-27,593.590027,595.590027,576.789978,579.719971,579.719971,771200000
2020-02-28,566.820007,568.539978,547.979980,565.010010,565.010010,1163800000
2020-03-02,568.070007,579.400024,560.929993,562.010010,562.010010,793900000
2020-03-03,573.950012,587.340027,572.419983,583.010010,583.010010,894600000
2020-03-04,583.400024,605.250000,581.229980,604.520020,604.520020,929900000
2020-03-05,608.929993,612.750000,599.219971,603.400024,603.400024,701900000
2020-03-06,594.859985,595.539978,585.419983,587.460022,587.460022,571300000
2020-03-09,563.010010,566.520020,539.179993,541.400024,541.400024,953000000
2020-03-10,541.739990,560.099976,541.729980,549.479980,549.479980,886600000
2020-03-11,549.719971,553.609985,536.159973,542.299988,542.299988,889900000
2020-03-12,527.760010,529.530029,512.080017,512.960022,512.960022,888000000
